# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:t_g                    3:t_b                    4:t_cdm                  5:t_dmeff                6:t_ur                   7:t_tot              
       1.008985870272e-05       1.525905919995e-08       1.525921709853e-08       1.525921725636e-08       1.525921725523e-08       1.525904871111e-08       1.525921101658e-08 
       1.038448789616e-05       1.616320529527e-08       1.616338227999e-08       1.616338245590e-08       1.616338245464e-08       1.616319353384e-08       1.616337546201e-08 
       1.068772041737e-05       1.712092419404e-08       1.712112258308e-08       1.712112277921e-08       1.712112277782e-08       1.712091100519e-08       1.712111493963e-08 
       1.099980748807e-05       1.813539013550e-08       1.813561252924e-08       1.813561274799e-08       1.813561274644e-08       1.813537534550e-08       1.813560395998e-08 
       1.132100766576e-05       1.920996542617e-08       1.921021474163e-08       1.921021498568e-08       1.921021498396e-08       1.920994884014e-08       1.921020513400e-08 
       1.165158705797e-05       2.034821158140e-08       2.034849109081e-08       2.034849136315e-08       2.034849136125e-08       2.034819298069e-08       2.034848031854e-08 
       1.199181954271e-05       2.155390112667e-08       2.155421450079e-08       2.155421480480e-08       2.155421480269e-08       2.155388026601e-08       2.155420242222e-08 
       1.234198699538e-05       2.283103009801e-08       2.283138145469e-08       2.283138179414e-08       2.283138179179e-08       2.283100670222e-08       2.283136791091e-08 
       1.270237952227e-05       2.418383128208e-08       2.418422524146e-08       2.418422562057e-08       2.418422561796e-08       2.418380504243e-08       2.418421005417e-08 
       1.307329570095e-05       2.561678824533e-08       2.561722998788e-08       2.561723041139e-08       2.561723040848e-08       2.561675881546e-08       2.561721295716e-08 
       1.345504282758e-05       2.713465017819e-08       2.713514551856e-08       2.713514599177e-08       2.713514598853e-08       2.713461716952e-08       2.713512641999e-08 
       1.384793717157e-05       2.874244764425e-08       2.874300310439e-08       2.874300363326e-08       2.874300362964e-08       2.874241062083e-08       2.874298168627e-08 
       1.425230423754e-05       3.044550923906e-08       3.044613213565e-08       3.044613272684e-08       3.044613272282e-08       3.044546771180e-08       3.044610811560e-08 
       1.466847903501e-05       3.224947924609e-08       3.225017778745e-08       3.225017844844e-08       3.225017844395e-08       3.224943266624e-08       3.225015084866e-08 
