# Matter power spectrum P(k) at redshift z=0
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.008985870589e-05       5.704051501405e+01 
       1.038448789942e-05       5.863857165679e+01 
       1.068772042073e-05       6.028139952586e+01 
       1.099980749152e-05       6.197024467828e+01 
       1.132100766931e-05       6.370641492658e+01 
       1.165158706163e-05       6.549121762666e+01 
       1.199181954648e-05       6.732601996487e+01 
       1.234198699926e-05       6.921223172577e+01 
       1.270237952626e-05       7.115127756120e+01 
       1.307329570505e-05       7.314464317713e+01 
       1.345504283181e-05       7.519383641887e+01 
       1.384793717592e-05       7.730052278951e+01 
       1.425230424201e-05       7.946616014060e+01 
       1.466847903962e-05       8.169249653668e+01 
       1.509680636071e-05       8.398118724597e+01 
       1.553764106540e-05       8.633397980641e+01 
       1.599134837587e-05       8.875270397368e+01 
       1.645830417899e-05       9.123920829369e+01 
       1.693889533774e-05       9.379535077598e+01 
       1.743352001170e-05       9.642309696300e+01 
       1.794258798689e-05       9.912447336913e+01 
       1.846652101534e-05       1.019015270883e+02 
       1.900575316444e-05       1.047563656507e+02 
       1.956073117657e-05       1.076911888586e+02 
       2.013191483923e-05       1.107082204493e+02 
       2.071977736597e-05       1.138097902482e+02 
       2.132480578841e-05       1.169982338608e+02 
       2.194750135975e-05       1.202759908912e+02 
       2.258837997005e-05       1.236455938916e+02 
       2.324797257365e-05       1.271095754119e+02 
       2.392682562900e-05       1.306705988677e+02 
       2.462550155146e-05       1.343313818967e+02 
       2.534457917919e-05       1.380947129052e+02 
       2.608465425274e-05       1.419634628624e+02 
       2.684633990860e-05       1.459405958646e+02 
       2.763026718718e-05       1.500291343761e+02 
       2.843708555556e-05       1.542322029643e+02 
       2.926746344566e-05       1.585530095694e+02 
       3.012208880792e-05       1.629948497062e+02 
       3.100166968130e-05       1.675611156901e+02 
       3.190693477991e-05       1.722552897544e+02 
       3.283863409664e-05       1.770809449136e+02 
       3.379753952460e-05       1.820417807426e+02 
       3.478444549660e-05       1.871415644014e+02 
       3.580016964326e-05       1.923841983593e+02 
       3.684555347050e-05       1.977736768689e+02 
       3.792146305661e-05       2.033141122491e+02 
       3.902878976984e-05       2.090097323158e+02 
       4.016845100688e-05       2.148648744387e+02 
       4.134139095287e-05       2.208840149043e+02 
       4.254858136364e-05       2.270717332819e+02 
       4.379102237084e-05       2.334327536173e+02 
       4.506974331045e-05       2.399719235957e+02 
       4.638580357563e-05       2.466942323773e+02 
       4.774029349437e-05       2.536048044862e+02 
       4.913433523283e-05       2.607089034818e+02 
       5.056908372497e-05       2.680119433718e+02 
       5.204572762948e-05       2.755194932893e+02 
       5.356549031448e-05       2.832372842912e+02 
       5.512963087109e-05       2.911711829212e+02 
       5.673944515656e-05       2.993272353858e+02 
       5.839626686785e-05       3.077116674821e+02 
       6.010146864658e-05       3.163308474182e+02 
       6.185646321622e-05       3.251913558412e+02 
       6.366270455252e-05       3.342999334225e+02 
       6.552168908807e-05       3.436635101505e+02 
       6.743495695211e-05       3.532892213686e+02 
       6.940409324645e-05       3.631843902664e+02 
       7.143072935870e-05       3.733565522644e+02 
       7.351654431385e-05       3.838134251645e+02 
       7.566326616533e-05       3.945629887326e+02 
       7.787267342661e-05       4.056134061924e+02 
       8.014659654471e-05       4.169730806235e+02 
       8.248691941665e-05       4.286506418641e+02 
       8.489558095026e-05       4.406549744546e+02 
       8.737457667049e-05       4.529951957471e+02 
       8.992596037266e-05       4.656806689522e+02 
       9.255184582400e-05       4.787210313969e+02 
       9.525440851488e-05       4.921261802424e+02 
       9.803588746111e-05       5.059062853024e+02 
       1.008985870589e-04       5.200717976377e+02 
       1.038448789942e-04       5.346334597216e+02 
       1.068772042073e-04       5.496023003373e+02 
       1.099980749152e-04       5.649896628804e+02 
       1.132100766931e-04       5.808072019167e+02 
       1.165158706163e-04       5.970668769364e+02 
       1.199181954648e-04       6.137810015796e+02 
       1.234198699926e-04       6.309621989130e+02 
       1.270237952626e-04       6.486234549583e+02 
       1.307329570505e-04       6.667781026803e+02 
       1.345504283181e-04       6.854398435872e+02 
       1.384793717592e-04       7.046227485838e+02 
       1.425230424201e-04       7.243412652980e+02 
       1.466847903962e-04       7.446102681298e+02 
       1.509680636071e-04       7.654449670686e+02 
       1.553764106540e-04       7.868610598541e+02 
       1.599134837587e-04       8.088746100150e+02 
       1.645830417899e-04       8.315021382647e+02 
       1.693889533774e-04       8.547605956515e+02 
       1.743352001170e-04       8.786674207333e+02 
       1.794258798689e-04       9.032404901687e+02 
       1.846652101534e-04       9.284981445439e+02 
       1.900575316444e-04       9.544592293414e+02 
       1.956073117657e-04       9.811431214674e+02 
       2.013191483923e-04       1.008569647356e+03 
       2.071977736597e-04       1.036759193112e+03 
       2.132480578841e-04       1.065732673156e+03 
       2.194750135975e-04       1.095511555515e+03 
       2.258837997005e-04       1.126117853600e+03 
       2.324797257365e-04       1.157574201411e+03 
       2.392682562900e-04       1.189903671311e+03 
       2.462550155146e-04       1.223130112109e+03 
       2.534457917919e-04       1.257277899205e+03 
       2.608465425274e-04       1.292372043264e+03 
       2.684633990860e-04       1.328438149626e+03 
       2.763026718718e-04       1.365502512590e+03 
       2.843708555556e-04       1.403592103099e+03 
       2.926746344566e-04       1.442734480468e+03 
       3.012208880792e-04       1.482957996638e+03 
       3.100166968130e-04       1.524291608887e+03 
       3.190693477991e-04       1.566765022387e+03 
       3.283863409664e-04       1.610408696328e+03 
       3.379753952460e-04       1.655253761149e+03 
       3.478444549660e-04       1.701332126618e+03 
       3.580016964326e-04       1.748676438208e+03 
       3.684555347050e-04       1.797320163373e+03 
       3.792146305661e-04       1.847297542735e+03 
       3.902878976984e-04       1.898643419175e+03 
       4.016845100688e-04       1.951393770500e+03 
       4.134139095287e-04       2.005585162848e+03 
       4.254858136364e-04       2.061255028286e+03 
       4.379102237084e-04       2.118441719575e+03 
       4.506974331045e-04       2.177184140014e+03 
       4.638580357563e-04       2.237522491536e+03 
       4.774029349438e-04       2.299497498115e+03 
       4.913433523283e-04       2.363150894148e+03 
       5.056908372497e-04       2.428525228126e+03 
       5.204572762948e-04       2.495663974698e+03 
       5.356549031448e-04       2.564611451315e+03 
       5.512963087109e-04       2.635412905858e+03 
       5.673944515656e-04       2.708114510156e+03 
       5.839626686785e-04       2.782763250285e+03 
       6.010146864658e-04       2.859407073895e+03 
       6.185646321622e-04       2.938094809605e+03 
       6.366270455252e-04       3.018876269015e+03 
       6.552168908807e-04       3.101802017293e+03 
       6.743495695211e-04       3.186923718129e+03 
       6.940409324645e-04       3.274293533700e+03 
       7.143072935870e-04       3.363965014495e+03 
       7.351654431385e-04       3.455992285995e+03 
       7.566326616533e-04       3.550430473234e+03 
       7.787267342661e-04       3.647335148759e+03 
       8.014659654471e-04       3.746763274508e+03 
       8.248691941665e-04       3.848772285778e+03 
       8.489558095026e-04       3.953420404450e+03 
       8.737457667049e-04       4.060766543689e+03 
       8.992596037266e-04       4.170870499243e+03 
       9.255184582400e-04       4.283792454700e+03 
       9.525440851488e-04       4.399593339339e+03 
       9.803588746111e-04       4.518334766831e+03 
       1.008985870589e-03       4.640078506239e+03 
       1.038448789942e-03       4.764886987157e+03 
       1.068772042073e-03       4.892822959430e+03 
       1.099980749152e-03       5.023949455646e+03 
       1.132100766931e-03       5.158329723995e+03 
       1.165158706163e-03       5.296026972233e+03 
       1.199181954648e-03       5.437104830879e+03 
       1.234198699926e-03       5.581626606830e+03 
       1.270237952626e-03       5.729662104950e+03 
       1.307329570505e-03       5.881290105299e+03 
       1.345504283181e-03       6.036554599808e+03 
       1.384793717592e-03       6.195518033703e+03 
       1.425230424202e-03       6.358242270518e+03 
       1.466847903962e-03       6.524788512622e+03 
       1.509680636071e-03       6.695216585541e+03 
       1.553764106540e-03       6.869586320794e+03 
       1.599134837587e-03       7.047955476288e+03 
       1.645830417899e-03       7.230380999661e+03 
       1.693889533774e-03       7.416918208179e+03 
       1.743352001170e-03       7.607620081785e+03 
       1.794258798689e-03       7.802538922749e+03 
       1.846652101534e-03       8.001723298117e+03 
       1.900575316444e-03       8.205220926515e+03 
       1.956073117657e-03       8.413075806142e+03 
       2.013191483923e-03       8.625329924925e+03 
       2.071977736597e-03       8.842021680329e+03 
       2.132480578841e-03       9.063186473822e+03 
       2.194750135975e-03       9.288856423772e+03 
       2.258837997005e-03       9.519058680548e+03 
       2.324797257365e-03       9.753818236656e+03 
       2.392682562900e-03       9.993153314632e+03 
       2.462550155146e-03       1.023707925254e+04 
       2.534457917919e-03       1.048560561017e+04 
       2.608465425274e-03       1.073873561253e+04 
       2.684633990860e-03       1.099646854297e+04 
       2.763026718718e-03       1.125879569626e+04 
       2.843708555556e-03       1.152570335388e+04 
       2.926746344566e-03       1.179716993213e+04 
       3.012208880792e-03       1.207316580731e+04 
       3.100166968130e-03       1.235365575928e+04 
       3.190693477991e-03       1.263859320707e+04 
       3.283863409664e-03       1.292792672801e+04 
       3.379753952460e-03       1.322159160551e+04 
       3.478444549660e-03       1.351951598428e+04 
       3.580016964326e-03       1.382161764547e+04 
       3.684555347050e-03       1.412780236719e+04 
       3.792146305661e-03       1.443796879708e+04 
       3.902878976984e-03       1.475199866141e+04 
       4.016845100688e-03       1.506976329836e+04 
       4.134139095287e-03       1.539113071393e+04 
       4.254858136364e-03       1.571593929150e+04 
       4.379102237084e-03       1.604402930722e+04 
       4.506974331045e-03       1.637521726871e+04 
       4.638580357563e-03       1.670925516432e+04 
       4.774029349438e-03       1.704603482120e+04 
       4.913433523283e-03       1.738524996156e+04 
       5.056908372497e-03       1.772678292010e+04 
       5.204572762948e-03       1.807026587577e+04 
       5.356549031448e-03       1.841544085196e+04 
       5.512963087109e-03       1.876199764398e+04 
       5.673944515656e-03       1.910962668807e+04 
       5.839626686785e-03       1.945800090010e+04 
       6.010146864658e-03       1.980677424182e+04 
       6.185646321622e-03       2.015556753881e+04 
       6.366270455252e-03       2.050399521089e+04 
       6.552168908807e-03       2.085164909882e+04 
       6.743495695211e-03       2.119809689288e+04 
       6.940409324645e-03       2.154283517281e+04 
       7.143072935870e-03       2.188546487600e+04 
       7.351654431385e-03       2.222541482208e+04 
       7.566326616533e-03       2.256221699263e+04 
       7.787267342661e-03       2.289526404975e+04 
       8.014659654471e-03       2.322399546922e+04 
       8.248691941665e-03       2.354780414200e+04 
       8.489558095026e-03       2.386611985720e+04 
       8.737457667049e-03       2.417813644151e+04 
       8.992596037266e-03       2.448342260934e+04 
       9.255184582400e-03       2.478103402961e+04 
       9.525440851488e-03       2.507042542565e+04 
       9.803588746111e-03       2.535077906187e+04 
       1.008985870589e-02       2.562132292939e+04 
       1.038448789942e-02       2.588127896317e+04 
       1.068772042073e-02       2.612980065383e+04 
       1.099980749152e-02       2.636607514721e+04 
       1.132100766931e-02       2.658923942774e+04 
       1.165158706163e-02       2.679848432434e+04 
       1.199181954648e-02       2.699279468023e+04 
       1.234198699926e-02       2.717124448107e+04 
       1.270237952626e-02       2.733310215890e+04 
       1.307329570505e-02       2.747735272802e+04 
       1.345504283181e-02       2.760308414654e+04 
       1.384793717592e-02       2.770936944995e+04 
       1.425230424202e-02       2.779531516442e+04 
       1.466847903963e-02       2.786008366998e+04 
       1.509680636074e-02       2.790265241550e+04 
       1.553764106548e-02       2.792216118507e+04 
       1.599134837608e-02       2.791796361217e+04 
       1.645830417957e-02       2.788918845517e+04 
       1.693889533924e-02       2.783517358446e+04 
       1.743352001546e-02       2.775519033920e+04 
       1.794258799607e-02       2.764868775841e+04 
       1.846652103709e-02       2.751517477664e+04 
       1.900575321452e-02       2.735423578953e+04 
       1.956073128870e-02       2.716557606526e+04 
       2.013191508353e-02       2.694903399760e+04 
       2.071977788416e-02       2.670464527039e+04 
       2.132480685939e-02       2.643238659908e+04 
       2.194750351787e-02       2.613265526513e+04 
       2.258838421306e-02       2.580584784428e+04 
       2.324798071816e-02       2.545276624109e+04 
       2.392684090240e-02       2.507413063659e+04 
       2.462552955212e-02       2.467087554015e+04 
       2.534462939499e-02       2.424447535745e+04 
       2.608474240342e-02       2.379627122021e+04 
       2.684649147135e-02       2.332817798837e+04 
       2.763052257754e-02       2.284181690944e+04 
       2.843750756313e-02       2.233954795636e+04 
       2.926814766066e-02       2.182359470954e+04 
       3.012317791048e-02       2.129645540390e+04 
       3.100337258439e-02       2.076078324550e+04 
       3.190955170259e-02       2.021951653364e+04 
       3.284258867309e-02       1.967541211501e+04 
       3.380341900404e-02       1.913148054933e+04 
       3.479304993695e-02       1.859077414757e+04 
       3.581257073019e-02       1.805622038970e+04 
       3.686316319320e-02       1.753074292796e+04 
       3.794611194825e-02       1.701715472554e+04 
       3.906281379287e-02       1.651814915049e+04 
       4.021478547217e-02       1.603618099095e+04 
       4.140366916454e-02       1.557338522119e+04 
       4.263123505067e-02       1.513175095249e+04 
       4.389938048166e-02       1.471272096306e+04 
       4.521012548301e-02       1.431740990419e+04 
       4.656560461099e-02       1.394637136728e+04 
       4.796805548637e-02       1.359953816993e+04 
       4.941980463150e-02       1.327623116396e+04 
       5.092325148804e-02       1.297497358669e+04 
       5.248085165900e-02       1.269356064370e+04 
       5.409510047684e-02       1.242890098607e+04 
       5.576851794029e-02       1.217677616601e+04 
       5.750363590034e-02       1.193235917318e+04 
       5.930298813551e-02       1.168998662618e+04 
       6.116910367850e-02       1.144296518665e+04 
       6.310450347687e-02       1.118489199420e+04 
       6.511170022679e-02       1.090907755334e+04 
       6.719320103232e-02       1.060920156795e+04 
       6.935151242450e-02       1.028054316078e+04 
       7.158914722410e-02       9.919890068635e+03 
       7.390863273767e-02       9.526571224758e+03 
       7.631251982442e-02       9.102547472588e+03 
       7.880339244491e-02       8.653263838075e+03 
       8.138387738640e-02       8.186652334481e+03 
       8.405665394311e-02       7.713546420760e+03 
       8.682446340420e-02       7.246606198065e+03 
       8.969011826444e-02       6.798644738638e+03 
       9.265651112018e-02       6.382246716210e+03 
       9.572662324704e-02       6.007546878899e+03 
       9.890353287826e-02       5.681570804884e+03 
       1.021904232141e-01       5.407261380431e+03 
