# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 288.436 h/Mpc,
# number of wavenumbers equal to 1038
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_dmeff/k2            4:-T_b/k2                5:-T_g/k2                6:-T_ur/k2               7:-T_ncdm/k2             8:-T_tot/k2          
       1.008985870272e-05       2.425053187681e+05       2.425053186345e+05       2.425053103340e+05       3.233390431603e+05       3.233388827274e+05       0.000000000000e+00       2.448480232984e+05 
       1.024593865065e-05       2.425053166933e+05       2.425053165555e+05       2.425053079962e+05       3.233389973112e+05       3.233388318764e+05       0.000000000000e+00       2.448480198500e+05 
       1.040443299810e-05       2.425053146666e+05       2.425053145245e+05       2.425053056984e+05       3.233389501832e+05       3.233387795906e+05       0.000000000000e+00       2.448480164080e+05 
       1.056537909342e-05       2.425053124771e+05       2.425053123306e+05       2.425053032292e+05       3.233389014529e+05       3.233387255417e+05       0.000000000000e+00       2.448480127580e+05 
       1.072881486267e-05       2.425053103172e+05       2.425053101661e+05       2.425053007810e+05       3.233388513339e+05       3.233386699383e+05       0.000000000000e+00       2.448480090932e+05 
       1.089477881860e-05       2.425053079731e+05       2.425053078173e+05       2.425052981396e+05       3.233387994964e+05       3.233386124454e+05       0.000000000000e+00       2.448480051959e+05 
       1.106331006970e-05       2.425053057026e+05       2.425053055420e+05       2.425052955625e+05       3.233387462384e+05       3.233385533558e+05       0.000000000000e+00       2.448480013254e+05 
       1.123444832946e-05       2.425053032296e+05       2.425053030639e+05       2.425052927734e+05       3.233386911444e+05       3.233384922482e+05       0.000000000000e+00       2.448479972011e+05 
       1.140823392565e-05       2.425053006852e+05       2.425053005143e+05       2.425052899030e+05       3.233386343402e+05       3.233384292431e+05       0.000000000000e+00       2.448479929541e+05 
       1.158470780992e-05       2.425052981170e+05       2.425052979409e+05       2.425052869986e+05       3.233385758392e+05       3.233383643478e+05       0.000000000000e+00       2.448479886307e+05 
       1.176391156738e-05       2.425052954994e+05       2.425052953177e+05       2.425052840344e+05       3.233385155551e+05       3.233382974700e+05       0.000000000000e+00       2.448479842034e+05 
       1.194588742640e-05       2.425052927320e+05       2.425052925447e+05       2.425052809095e+05       3.233384533007e+05       3.233382284163e+05       0.000000000000e+00       2.448479795693e+05 
       1.213067826860e-05       2.425052899034e+05       2.425052897103e+05       2.425052777124e+05       3.233383891388e+05       3.233381572432e+05       0.000000000000e+00       2.448479748161e+05 
       1.231832763895e-05       2.425052869769e+05       2.425052867777e+05       2.425052744058e+05       3.233383229635e+05       3.233380838381e+05       0.000000000000e+00       2.448479699048e+05 
       1.250887975598e-05       2.425052839723e+05       2.425052837668e+05       2.425052710092e+05       3.233382547425e+05       3.233380081618e+05       0.000000000000e+00       2.448479648536e+05 
       1.270237952227e-05       2.425052808839e+05       2.425052806721e+05       2.425052675167e+05       3.233381844079e+05       3.233379301396e+05       0.000000000000e+00       2.448479596551e+05 
       1.289887253498e-05       2.425052776950e+05       2.425052774766e+05       2.425052639110e+05       3.233381118748e+05       3.233378496791e+05       0.000000000000e+00       2.448479542901e+05 
       1.309840509662e-05       2.425052743753e+05       2.425052741501e+05       2.425052601615e+05       3.233380370384e+05       3.233377666683e+05       0.000000000000e+00       2.448479487262e+05 
       1.330102422595e-05       2.425052709687e+05       2.425052707365e+05       2.425052563118e+05       3.233379598911e+05       3.233376810917e+05       0.000000000000e+00       2.448479430056e+05 
