# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00899e-05 to 311.717 h/Mpc,
# number of wavenumbers equal to 732
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_dmeff/k2            4:-T_b/k2                5:-T_g/k2                6:-T_ur/k2               7:-T_ncdm/k2             8:-T_tot/k2          
       1.008985870728e-05       1.974869509330e+07       1.974869509312e+07       1.974869462963e+07       2.631776470150e+07       2.631744249232e+07       0.000000000000e+00       1.975065497884e+07 
       2.255719778763e-05       1.974858644441e+07       1.974858644354e+07       1.974858412793e+07       2.626239870157e+07       2.626079090879e+07       0.000000000000e+00       1.975052936818e+07 
       3.506555438942e-05       1.974839124410e+07       1.974839124199e+07       1.974838565016e+07       2.616461333583e+07       2.616073918790e+07       0.000000000000e+00       1.975030421125e+07 
       4.764645186636e-05       1.974810918072e+07       1.974810917684e+07       1.974809886311e+07       2.602402641923e+07       2.601690322901e+07       0.000000000000e+00       1.974997907854e+07 
       6.033190178577e-05       1.974773871240e+07       1.974773870617e+07       1.974772219105e+07       2.584002655868e+07       2.582866742161e+07       0.000000000000e+00       1.974955223985e+07 
       7.315467139448e-05       1.974727559729e+07       1.974727558813e+07       1.974725134700e+07       2.561177517062e+07       2.559518803320e+07       0.000000000000e+00       1.974901919606e+07 
       8.614855911287e-05       1.974671664998e+07       1.974671663729e+07       1.974668308678e+07       2.533821905096e+07       2.531540519161e+07       0.000000000000e+00       1.974837643754e+07 
       9.934868150699e-05       1.974605641841e+07       1.974605640153e+07       1.974601188696e+07       2.501809360326e+07       2.498804798408e+07       0.000000000000e+00       1.974761812353e+07 
       1.127917752162e-04       1.974528874568e+07       1.974528872392e+07       1.974523150478e+07       2.464993765811e+07       2.461164975772e+07       0.000000000000e+00       1.974673764757e+07 
       1.265165173439e-04       1.974440632938e+07       1.974440630201e+07       1.974433453748e+07       2.423210961720e+07       2.418456592755e+07       0.000000000000e+00       1.974572720206e+07 
       1.405638678349e-04       1.974340062768e+07       1.974340059389e+07       1.974331232673e+07       2.376281109750e+07       2.370499946800e+07       0.000000000000e+00       1.974457769127e+07 
       1.549774373317e-04       1.974226149960e+07       1.974226145852e+07       1.974215459850e+07       2.324011957571e+07       2.317103567203e+07       0.000000000000e+00       1.974327838176e+07 
       1.698038839022e-04       1.974097781474e+07       1.974097776542e+07       1.974085007135e+07       2.266203405438e+07       2.258069093480e+07       0.000000000000e+00       1.974181752559e+07 
       1.850933417935e-04       1.973953549277e+07       1.973953543417e+07       1.973938449399e+07       2.202653407978e+07       2.193197472628e+07       0.000000000000e+00       1.974018041808e+07 
       2.008998849484e-04       1.973791963510e+07       1.973791956607e+07       1.973774277691e+07       2.133166343351e+07       2.122297820608e+07       0.000000000000e+00       1.973835155439e+07 
       2.172820273174e-04       1.973611256999e+07       1.973611248924e+07       1.973590703701e+07       2.057563437508e+07       2.045198418833e+07       0.000000000000e+00       1.973631270696e+07 
       2.343032609108e-04       1.973409396297e+07       1.973409386908e+07       1.973385670493e+07       1.975696822639e+07       1.961761303122e+07       0.000000000000e+00       1.973404307792e+07 
       2.520326309069e-04       1.973184086380e+07       1.973184075515e+07       1.973156857337e+07       1.887467320613e+07       1.871900875867e+07       0.000000000000e+00       1.973151940033e+07 
       2.705453447934e-04       1.972932683947e+07       1.972932671428e+07       1.972901593082e+07       1.792846754808e+07       1.775607164428e+07       0.000000000000e+00       1.972871513936e+07 
       2.899234092336e-04       1.972652186993e+07       1.972652172616e+07       1.972616845723e+07       1.691905859217e+07       1.672974650425e+07       0.000000000000e+00       1.972560047233e+07 
